AS2.A1ModJulian,AS2.Hellas_Planitia_GS.X,AS2.Hellas_Planitia_GS.Y,AS2.Hellas_Planitia_GS.Z,AS2.Valles_Marineris_GS.X,AS2.Valles_Marineris_GS.Y,AS2.Valles_Marineris_GS.Z,AS2.Schiaparelli_Crater_GS.X,AS2.Schiaparelli_Crater_GS.Y,AS2.Schiaparelli_Crater_GS.Z,AS2.Mawrth_Vallis_GS.X,AS2.Mawrth_Vallis_GS.Y,AS2.Mawrth_Vallis_GS.Z,AS2.Arcadia_Planitia_GS.X,AS2.Arcadia_Planitia_GS.Y,AS2.Arcadia_Planitia_GS.Z
21545.74705,1673.782717,-20153.33564,-5186.788327,-4444.057855,8774.203832,14358.59975,-708.153776,-13868.11761,11410.43206,8253.597164,-2625.408007,14955.22546,-12908.50723,10361.27184,-15172.71024
21545.7556,1665.715156,-20163.53186,-5178.231378,-4444.720821,8789.600427,14360.78496,-708.9893954,-13864.64981,11425.58283,8257.731064,-2613.744741,14964.66733,-12918.97113,10354.62668,-15182.12398
21545.76415,1658.302997,-20173.93298,-5170.371003,-4445.542909,8804.300494,14363.63821,-709.7978475,-13862.0748,11440.33493,8261.952856,-2603.039764,14974.28444,-12929.28306,10348.93926,-15191.40979
21545.77271,1651.56832,-20184.50952,-5163.230617,-4446.521982,8818.261051,14367.15223,-710.5767847,-13860.40114,11454.64563,8266.250583,-2593.324978,14984.04951,-12939.41332,10344.22715,-15200.54094
21545.78126,1645.530117,-20195.23249,-5156.830363,-4447.655455,8831.443179,14371.31781,-711.324045,-13859.63405,11468.47526,8270.612469,-2584.627792,14993.93577,-12949.33391,10340.50398,-15209.4922
21545.78982,1640.205622,-20206.07161,-5151.188512,-4448.940161,8843.809423,14376.12332,-712.0375113,-13859.77592,11481.78458,8275.026192,-2576.973036,15003.9153,-12959.01674,10337.78049,-15218.23822
21545.79837,1635.609825,-20216.99541,-5146.32095,-4450.37229,8855.324451,14381.55443,-712.7151399,-13860.82577,11494.53537,8279.478931,-2570.382251,15013.95914,-12968.4339,10336.06399,-15226.75377
21545.80692,1631.75483,-20227.97306,-5142.240505,-4451.947652,8865.956826,14387.59518,-713.3550706,-13862.77964,11506.69237,8283.958108,-2564.872785,15024.03895,-12977.55919,10335.35815,-15235.01516
21545.81547,1628.6503,-20238.97296,-5138.957402,-4453.661463,8875.677707,14394.22708,-713.9555432,-13865.63021,11518.22183,8288.450821,-2560.458406,15034.12575,-12986.367,10335.66311,-15242.99916
21545.82401,1626.303044,-20249.96468,-5136.478846,-4455.508669,8884.462379,14401.43042,-714.5149977,-13869.36751,11529.09337,8292.944619,-2557.148738,15044.19166,-12994.83374,10336.97565,-15250.68436
21545.83254,1624.717704,-20260.91556,-5134.80973,-4457.483373,8892.287607,14409.18202,-715.031903,-13873.97769,11539.27669,8297.426135,-2554.950219,15054.20682,-13002.93529,10339.28877,-15258.04883
21545.84106,1623.895963,-20271.79654,-5133.951815,-4459.579896,8899.135731,14417.45939,-715.5050311,-13879.44556,11548.74694,8301.883457,-2553.86501,15064.14471,-13010.65128,10342.59295,-15265.074
21545.84958,1623.837205,-20282.57552,-5133.904408,-4461.791511,8904.99027,14426.23578,-715.9331549,-13885.7514,11557.47878,8306.303403,-2553.891882,15073.97606,-13017.96028,10346.87441,-15271.7403
21545.85808,1624.538342,-20293.22465,-5134.664204,-4464.111942,8909.840093,14435.48607,-716.3153499,-13892.87514,11565.45245,8310.674539,-2555.026049,15083.67553,-13024.84486,10352.11777,-15278.03179
21545.86657,1625.993738,-20303.7119,-5136.225178,-4466.533582,8913.674931,14445.17972,-716.650663,-13900.79116,11572.64697,8314.983677,-2557.25896,15093.21401,-13031.28586,10358.30254,-15283.93087
21545.87506,1628.196101,-20314.01211,-5138.579558,-4469.049956,8916.490269,14455.29059,-716.9385009,-13909.47605,11579.04837,8319.220464,-2560.579721,15102.5687,-13037.26954,10365.40883,-15289.42487
21545.88353,1631.135341,-20324.09565,-5141.716595,-4471.653158,8918.282606,14465.78671,-717.1782436,-13918.90037,11584.64144,8323.372671,-2564.973311,15111.71273,-13042.78033,10373.41119,-15294.49944
21545.89198,1634.799486,-20333.93579,-5145.623538,-4474.335553,8919.052342,14476.6371,-717.3694867,-13929.03425,11589.41495,8327.429271,-2570.421989,15120.62196,-13047.80549,10382.28283,-15299.14274
