RGT_3.A1ModJulian         RGT_3.Hellas_Planitia_GS.X   RGT_3.Hellas_Planitia_GS.Y   RGT_3.Hellas_Planitia_GS.Z   RGT_3.Valles_Marineris_GS.X   RGT_3.Valles_Marineris_GS.Y   RGT_3.Valles_Marineris_GS.Z   RGT_3.Schiaparelli_Crater_GS.X   RGT_3.Schiaparelli_Crater_GS.Y   RGT_3.Schiaparelli_Crater_GS.Z   RGT_3.Mawrth_Vallis_GS.X   RGT_3.Mawrth_Vallis_GS.Y   RGT_3.Mawrth_Vallis_GS.Z   RGT_3.Arcadia_Planitia_GS.X   RGT_3.Arcadia_Planitia_GS.Y   RGT_3.Arcadia_Planitia_GS.Z   
21545.22408332954         -2748.604342705129           12333.80884479001            -403.2033871430631           3072.101132142174             -3186.756910071731            -15613.01217250505            361.1835907159357                10576.0085626033                 -10932.26165893219               -5070.074838837258         4195.039122558643          -14605.15367149026         -5070.074838837258            4195.039122558643             -14605.15367149026            
21545.23262551577         -2324.22052494107            12527.66863273603            -861.6558087575759           3030.447189084452             -3817.804658770425            -15445.96262026607            386.4765087689821                10186.37569865217                -11457.05529899697               -5151.960147327497         3572.169479785734          -14787.33509036003         -5151.960147327497            3572.169479785734             -14787.33509036003            
21545.24117378194         -1893.608557192497           12688.56975760936            -1326.830064145378           2980.843373057754             -4438.872291497914            -15247.17282259196            410.7659930060709                9769.882543584448                -11960.68849825892               -5220.329692622725         2939.826008017747          -14939.55291328541         -5220.329692622725            2939.826008017747             -14939.55291328541            
21545.24972535755         -1457.951461327086           12816.06178288075            -1797.450900289762           2923.422185604149             -5048.250722852652            -15017.1814581429             433.9831996704779                9327.66676170284                 -12441.77212576132               -5274.993886819266         2299.743869706687          -15061.38055872301         -5274.993886819266            2299.743869706687             -15061.38055872301            
21545.25827961021         -1018.335582993496           12909.81832656922            -2272.34758015284            2858.322965802067             -5644.417597557471            -14756.55449173564            456.0680716798161                8860.824395706411                -12899.10103395656               -5315.814676708909         1653.517030228989          -15152.50575602968         -5315.814676708909            1653.517030228989             -15152.50575602968            
21545.2668348758          -575.9089993510547           12969.57893484747            -2750.282720919467           2785.710386003758             -6225.809367310971            -14465.95918156668            476.9604703030345                8370.563732568153                -13331.46962767588               -5342.680805430102         1002.830915124561          -15212.67553014444         -5342.680805430102            1002.830915124561             -15212.67553014444            
21545.27539035754         -131.7830417973846           12995.17172041812            -3230.058635137852           2705.760234375768             -6790.955691589087            -14146.10704368064            496.605211217593                 7858.101716766132                -13737.77560990688               -5355.517604512851         349.3176945597377          -15241.71811659381         -5355.517604512851            349.3176945597377             -15241.71811659381            
21545.28394304127         312.8091548856219            12986.50592050293            -3710.34601368673            2618.688334934305             -7338.278570111001            -13797.86943164268            514.9451438608157                7324.847919987293                -14116.87628066299               -5354.283082063008         -305.2103718375531         -15239.53414940397         -5354.283082063008            -305.2103718375531            -15239.53414940397            
21545.29249343108         756.812183647462             12943.57694083003            -4190.007463170128           2524.694149291655             -7866.466906539494            -13422.05183324117            531.9339542149619                6772.051729162325                -14467.85269679447               -5338.971536739466         -959.2017705925625         -15206.10512165979         -5338.971536739466            -959.2017705925625            -15206.10512165979            
21545.30103887189         1199.002940379652            12866.4707439314             -4667.724308800762           2424.027975584867             -8374.04998371084             -13019.66252326803            547.5218511710627                6201.215294884956                -14789.71322296483               -5309.613529202043         -1610.857194044298         -15141.49295568393         -5309.613529202043            -1610.857194044298            -15141.49295568393            
21545.30957886727         1638.268392484761            12755.34868219512            -5142.296630484634           2316.934573562148             -8859.734153995785            -12591.68702338589            561.6666713621826                5613.754629682682                -15081.62250584389               -5266.271081777381         -2258.538537939262         -15045.82975703585         -5266.271081777381            -2258.538537939262            -15045.82975703585            
21545.31811259929         2073.478033548327            12610.45326094442            -5612.505442064405           2203.678842698196             -9322.247561666391            -12139.19069364209            574.3287671354974                5011.154544951088                -15342.79534225211               -5209.039357523941         -2900.581072507423         -14919.32143792771         -5209.039357523941            -2900.581072507423            -14919.32143792771            
21545.32663746144         2503.41242013233             12432.15015520938            -6077.035439109823           2084.568188496367             -9760.273961972316            -11663.40795215631            585.4696567618066                4395.078388647862                -15572.46846354588               -5138.063521125814         -3535.187814102936         -14762.28511542895         -5138.063521125814            -3535.187814102936            -14762.28511542895            
21545.33515329126         2926.980810053531            12220.85186247731            -6534.71011155065            1959.895109718327             -10172.68190718046            -11165.51281720143            595.0582250892649                3767.06441889752                 -15770.02799481965               -5053.50850323228          -4160.750611919732         -14575.08231045856         -5053.50850323228             -4160.750611919732            -14575.08231045856            
21545.34365967284         3343.084171472409            11977.05482541697            -6984.343715035058           1829.971123166623             -10558.37458846915            -10646.75440196894            603.066424973611                 3128.710485031579                -15934.92039580698               -4955.57351500279          -4775.648116731744         -14358.15103862584         -4955.57351500279             -4775.648116731744            -14358.15103862584            
21545.35215412846         3750.532515758876            11701.40880632999            -7424.651905531025           1695.156898104919             -10916.22443848886            -10108.57711399411            609.4685168298174                2481.813237884235                -16066.63656253522               -4844.520086861638         -5378.123395143207         -14112.06800645865         -4844.520086861638            -5378.123395143207            -14112.06800645865            
21545.36063772231         4148.318848087537            11394.54417555837            -7854.547755043783           1555.77422297667              -11245.32049761034            -9552.269139063414            614.2458778370419                1827.940654909689                -16164.81054725742               -4720.602569926834         -5966.688868007479         -13837.39466887357         -4720.602569926834            -5966.688868007479            -13837.39466887357            
21545.36910710289         4535.243886426914            11057.33974929663            -8272.736178450185           1412.233058205446             -11544.64629660123            -8979.469551143184            617.381660036368                 1169.036122728633                -16229.10947580379               -4584.176139699916         -6539.571248581115         -13534.91661175259         -4584.176139699916            -6539.571248581115            -13534.91661175259            
21545.37756633259         4910.464793354501            10690.46957446719            -8678.306972548162           1264.833118978525             -11813.51777211931            -8391.37643711222             618.8662201745201                506.4987729322534                -16259.34487543394               -4435.51357445946          -7095.523738751664         -13205.23738348799         -4435.51357445946             -7095.523738751664            -13205.23738348799            
21545.38601206687         5272.822155601672            10294.99413543865            -9070.007404966629           1114.014518005198             -12051.06511990675            -7789.747052217714            618.6918522121277                -157.6676494022158               -16255.36459248409               -4275.044469224996         -7632.829501117255         -12849.30888840478         -4275.044469224996            -7632.829501117255            -12849.30888840478            
21545.39444446599         5621.341192854195            9871.922640839523            -9446.783918222352           960.1716423497946             -12256.62004002476            -7176.155091511424            616.8568157520444                -821.7088433820732               -16217.13534775785               -4103.178138189644         -8150.043756965198         -12468.03873794926         -4103.178138189644            -8150.043756965198            -12468.03873794926            
21545.40286393966         5955.083112449946            9422.333213459213            -9807.62148274774            803.7063726032061             -12429.59572407691            -6552.203088412233            613.3637652995826                -1483.872350352023               -16144.71049902766               -3920.352187094202         -8645.773796396159         -12062.39792431762         -3920.352187094202            -8645.773796396159            -12062.39792431762            
21545.41126880462         6273.060606557392            8947.505094225387            -10151.45222347581           645.0714745322521             -12569.45292142659            -5919.695427338941            608.221348720027                 -2142.229040685967               -16038.26318019692               -3727.086346935744         -9118.553279877051         -11633.54027559147         -3727.086346935744            -9118.553279877051            -11633.54027559147            
21545.41966189884         6574.493649015212            8448.545955097174            -10477.43201566882           484.64488930063               -12675.81743855179            -5280.137121344736            601.4404271187677                -2795.197243676447               -15898.00815706583               -3523.830819139599         -9567.222478983615         -11182.46592837775         -3523.830819139599            -9567.222478983615            -11182.46592837775            
21545.42804153948         6858.472245065766            7926.901108234531            -10784.57582213695           322.8991263572552             -12748.33481954755            -4635.409237088001            593.0397396575549                -3440.8411838169                 -15724.31924505015               -3311.17356202635          -9990.42679432395          -10710.48128287087         -3311.17356202635             -9990.42679432395             -10710.48128287087            
21545.43640975158         7124.259934423251            7383.869122002489            -11072.08591244307           160.2434266558917             -12786.78711384602            -3987.139670973967            583.0397687589165                -4077.517801702609               -15517.60260148765               -3089.643037837692         -10387.06833695376         -10218.76124113473         -3089.643037837692            -10387.06833695376            -10218.76124113473            
21545.4447666595          7371.099105723016            6820.935714003534            -11339.14133250755           -2.870244256406863            -12791.03043437287            -3337.125732440111            571.4675615774493                -4703.448159200956               -15278.396691705                 -2859.84427446626          -10756.01604485198         -9708.651142362092         -2859.84427446626             -10756.01604485198            -9708.651142362092            
21545.45311296835         7598.301000568752            6239.618588950055            -11584.99526389449           -165.9963845631117            -12761.0234125146             -2687.138119129315            558.3544503282603                -5316.916072228811               -15007.32544191106               -2622.395652718363         -11096.23972714341         -9181.526437467022         -2622.395652718363            -11096.23972714341            -9181.526437467022            
21545.46144920083         7805.225324814204            5641.512160311202            -11808.95299020802           -328.6828662006152            -12696.82590875664            -2038.973149136238            543.7369233973409                -5916.21747322283                -14705.11657737499               -2377.947173051161         -11406.77962429126         -8638.833197951486         -2377.947173051161            -11406.77962429126            -8638.833197951486            
21545.46977619519         7991.296989401082            5028.247510143435            -12010.3900361696            -490.4823996532679            -12598.59831705509            -1394.40714771518             527.6557508700494                -6499.703977773906               -14372.58391145628               -2127.164122350376         -11686.77146792772         -8082.051815409144         -2127.164122350376            -11686.77146792772            -8082.051815409144            
21545.47809578584         8156.018464062738            4401.432321341082            -12188.76558142231           -650.9672753775874            -12466.58467027929            -755.1378132488314            510.1541454739472                -7065.833076532023               -14010.58968827423               -1870.702496043189         -11935.46528183791         -7512.642383249359         -1870.702496043189            -11935.46528183791            -7512.642383249359            
21545.48640840323         8298.92185088535             3762.824139362466            -12343.57059510585           -809.684564573533             -12301.14617476724            -122.9627531080685            491.282481518349                 -7613.008819586206               -13620.14257682543               -1609.279892845176         -12152.15313400177         -6932.202052465759         -1609.279892845176            -12152.15313400177            -6932.202052465759            
21545.49471520555         8419.618208931543            3114.166598220154            -12474.38126511467           -966.1992809522239            -12102.7345425324             500.3923749359512             471.0939649106349                -8139.737221100359               -13202.30856344356               -1343.608559557908         -12336.24339246803         -6342.316328516688         -1343.608559557908            -12336.24339246803            -6342.316328516688            
21545.50301699593         8517.778977893533            2457.264342584925            -12580.83891141418           -1120.075436280637            -11871.90917186864            1113.198312859954             449.6467504541142                -8644.559931715559               -12758.25520143515               -1074.426071433722         -12487.23266083133         -5744.627137204092         -1074.426071433722            -12487.23266083133            -5744.627137204092            
21545.51131661442         8593.161151972174            1793.78553894533             -12662.67733541365           -1270.921491190244            -11609.26238662068            1713.903112764685             426.9972926474848                -9126.200872296737               -12289.1143599877                -802.4144016673426         -12604.74480882015         -5140.653073808099         -802.4144016673426            -12604.74480882015            -5140.653073808099            
21545.5135420646          8609.475148681113            1614.978719313063            -12680.40699105832           -1310.804385742018            -11533.50956625988            1872.721344852509             420.7272141139729                -9251.247463931872               -12159.20515338941               -729.0847260569244         -12630.52183452567         -4977.832099913538         -729.0847260569244            -12630.52183452567            -4977.832099913538            
