AS1.A1ModJulian           AS1.Hellas_Planitia_GS.X   AS1.Valles_Marineris_GS.X   AS1.Schiaparelli_Crater_GS.X   AS1.Mawrth_Vallis_GS.X    AS1.Arcadia_Planitia_GS.X   AS1.Hellas_Planitia_GS.Y   AS1.Hellas_Planitia_GS.Z   AS1.Valles_Marineris_GS.Y   AS1.Valles_Marineris_GS.Z   AS1.Schiaparelli_Crater_GS.Y   AS1.Schiaparelli_Crater_GS.Z   AS1.Mawrth_Vallis_GS.Y    AS1.Mawrth_Vallis_GS.Z    AS1.Arcadia_Planitia_GS.Y   AS1.Arcadia_Planitia_GS.Z   
21545.21554809639         5615.553631022774          2752.73211890245            948.6193315679793              -7710.624346937974        -7710.624346937974          18637.50916065086          -9448.970377575126         -16964.40534106809          -14349.65004239211          4357.172435061582              -23281.45892824943             -8065.12165352696         -20456.44692734117        -8065.12165352696           -20456.44692734117          
21545.22408332954         5621.232551947102          2753.163158603735           949.11102634497                -7713.834399709544        -7713.834399709544          18645.15330451362          -9455.167895754694         -16975.60193295475          -14351.53228702144          4354.903946921548              -23292.5811810444              -8073.455070048364        -20463.47131632608        -8073.455070048364          -20463.47131632608          
21545.23262551577         5626.271716396783          2753.838495433283           949.606218449655               -7717.253467800972        -7717.253467800972          18653.33633838263          -9460.659669929491         -16986.28473343033          -14354.34946630249          4353.722366117264              -23303.57542756505             -8080.83094329431         -20470.98272578353        -8080.83094329431           -20470.98272578353          
21545.24117378194         5630.655936809954          2754.756628374913           950.103517501806               -7720.872309974874        -7720.872309974874          18662.03619247858          -9465.429145053111         -16996.42293679995          -14358.09521151379          4353.632787283721              -23314.4106208058              -8087.227016250746        -20478.96088189939        -8087.227016250746          -20478.96088189939          
21545.24972535755         5634.371075402013          2755.915052444861           950.6014037016321              -7724.680176616695        -7724.680176616695          18671.22704628117          -9469.460944252492         -17005.98505265756          -14362.75927060845          4354.636816757501              -23325.05362259543             -8092.622644835452        -20487.38209303841        -8092.622644835452          -20487.38209303841          
21545.25827961021         5637.40645427439           2757.310610921104           951.0984742571982              -7728.666487110183        -7728.666487110183          18680.88335661208          -9472.743487751202         -17014.94407204789          -14368.32895049483          4356.732079337028              -23335.47455065019             -8097.002318994846        -20496.22294870114        -8097.002318994846          -20496.22294870114          
21545.2668348758          5639.753157701953          2758.939206139659           951.5932626203939              -7732.819563640753        -7732.819563640753          18690.97681588073          -9475.26714699854          -17023.27371790275          -14374.78793419476          4359.91244576305               -23345.64284681008             -8100.353183543815        -20505.45752801375        -8100.353183543815          -20505.45752801375          
21545.27539035754         5641.404779459174          2760.796110999732           952.0843545411608              -7737.127549587964        -7737.127549587964          18701.47857530923          -9477.025053484014         -17030.95056845893          -14382.11752563117          4364.168456942363              -23355.52971882032             -8102.666118499013        -20515.05943561908        -8102.666118499013          -20515.05943561908          
21545.28394304127         5642.356866683785          2762.875317346658           952.5702175623846              -7741.576907350439        -7741.576907350439          18712.35558229032          -9478.012507288582         -17037.95140456538          -14390.29407815212          4369.485815951843              -23365.10470950493             -8103.934961746736        -20524.99845309874        -8103.934961746736          -20524.99845309874          
21545.29249343108         5642.607883803935          2765.170855438317           953.0495361722551              -7746.155386615057        -7746.155386615057          18723.57782737095          -9478.227994529436         -17044.25828535422          -14399.29418860981          4375.848537340393              -23374.34236391398             -8104.157842038486        -20535.24716427581        -8104.157842038486          -20535.24716427581          
21545.30103887189         5642.158235456565          2767.675276903386           953.520835606465               -7750.848667103431        -7750.848667103431          18735.1101422824           -9477.672161405706         -17049.85294682684          -14409.08873084821          4383.235245976775              -23383.21478375108             -8103.335839872764        -20545.77345763453        -8103.335839872764          -20545.77345763453          
