RGT_1.A1ModJulian,RGT_1.Hellas_Planitia_GS.X,RGT_1.Hellas_Planitia_GS.Y,RGT_1.Hellas_Planitia_GS.Z,RGT_1.Valles_Marineris_GS.X,RGT_1.Valles_Marineris_GS.Y,RGT_1.Valles_Marineris_GS.Z,RGT_1.Schiaparelli_Crater_GS.X,RGT_1.Schiaparelli_Crater_GS.Y,RGT_1.Schiaparelli_Crater_GS.Z,RGT_1.Mawrth_Vallis_GS.X,RGT_1.Mawrth_Vallis_GS.Y,RGT_1.Mawrth_Vallis_GS.Z,RGT_1.Arcadia_Planitia_GS.X,RGT_1.Arcadia_Planitia_GS.Y,RGT_1.Arcadia_Planitia_GS.Z
21545.06378,4998.654661,8901.263276,-11110.16724,-882.2137279,-12408.30562,-6351.916157,-982.8522908,-2039.125814,-15981.3624,-5153.830211,-8957.384885,-10937.97576,-5153.830211,-8957.384885,-10937.97576
21545.07211,5189.453357,8408.023902,-11542.06968,-1190.356051,-12519.9612,-5752.908407,-1142.306943,-2690.837922,-15854.57721,-5092.547713,-9408.62973,-10429.20126,-5092.547713,-9408.62973,-10429.20126
21545.08045,5377.501816,7891.357452,-11944.13708,-1482.504382,-12598.98277,-5142.687479,-1285.113727,-3337.205482,-15694.0162,-5004.916643,-9836.327291,-9906.362638,-5004.916643,-9836.327291,-9906.362638
21545.0888,5563.239869,7352.895327,-12314.73667,-1756.817895,-12645.4879,-4522.708845,-1409.805197,-3976.538774,-15500.39514,-4890.298813,-10239.56231,-9371.527702,-4890.298813,-10239.56231,-9371.527702
21545.09717,5746.936532,6794.473785,-12652.30773,-2011.574595,-12659.65099,-3894.670842,-1515.081924,-4606.976173,-15274.566,-4748.298896,-10617.3545,-8826.878838,-4748.298896,-10617.3545,-8826.878838
21545.10554,5928.781997,6217.817264,-12955.56901,-2245.33544,-12641.71428,-3260.161529,-1599.891869,-5226.844454,-15017.39191,-4578.701961,-10968.87627,-8274.396027,-4578.701961,-10968.87627,-8274.396027
21545.11393,6108.743241,5624.941284,-13223.28545,-2456.775653,-12591.97711,-2621.1159,-1663.370082,-5834.203504,-14729.91049,-4381.590202,-11293.17956,-7716.243365,-4381.590202,-11293.17956,-7716.243365
21545.12233,6286.709483,5017.65589,-13454.52799,-2644.892001,-12510.77338,-1979.275703,-1704.919277,-6427.373251,-14413.10777,-4157.203529,-11589.49014,-7154.290248,-4157.203529,-11589.49014,-7154.290248
21545.13074,6462.379151,4397.89584,-13648.49736,-2808.872523,-12398.47509,-1336.558074,-1724.166257,-7004.572292,-14068.06098,-3906.040993,-11856.99829,-6590.425691,-3906.040993,-11856.99829,-6590.425691
21545.13917,6635.281948,3767.636125,-13804.57846,-2948.141147,-12255.49321,-694.9628518,-1720.984324,-7564.012102,-13695.90379,-3628.845185,-12094.91454,-6026.473267,-3628.845185,-12094.91454,-6026.473267
21545.14761,6804.788292,3128.848487,-13922.35718,-3062.373418,-12082.27023,-56.52831512,-1695.498925,-8103.937855,-13297.80262,-3326.588538,-12302.48883,-5464.149777,-3326.588538,-12302.48883,-5464.149777
21545.15606,6970.106688,2483.510345,-14001.61954,-3151.495669,-11879.28282,576.6599274,-1648.088718,-8622.621212,-12874.96238,-3000.478216,-12479.00801,-4905.072814,-3000.478216,-12479.00801,-4905.072814
21545.16452,7130.290329,1833.592804,-14042.35828,-3215.688299,-11647.04332,1202.483684,-1579.385381,-9118.374891,-12428.62239,-2651.950865,-12623.80526,-4350.750079,-2651.950865,-12623.80526,-4350.750079
21545.173,7284.292321,1180.851203,-14044.77276,-3255.394285,-11386.01874,1818.992924,-1490.240093,-9589.706615,-11959.90759,-2282.549689,-12736.29953,-3802.405432,-2282.549689,-12736.29953,-3802.405432
21545.18149,7430.877089,527.2229861,-14009.24919,-3271.277858,-11096.78155,2424.028812,-1381.761853,-10035.02385,-11470.10773,-1894.134712,-12815.91707,-3261.319748,-1894.134712,-12815.91707,-3261.319748
21545.18999,7568.718722,-125.5303046,-13936.37469,-3264.24721,-10779.88236,3015.571999,-1255.266498,-10452.90744,-10960.43127,-1488.67881,-12862.17192,-2728.530983,-1488.67881,-12862.17192,-2728.530983
21545.1985,7696.354519,-775.5451988,-13826.95382,-3235.439009,-10435.98284,3591.49421,-1112.311874,-10841.93191,-10432.22002,-1068.423188,-12874.64393,-2205.068619,-1068.423188,-12874.64393,-2205.068619
21545.20702,7812.305368,-1421.384865,-13681.91639,-3186.182144,-10065.58356,4150.034688,-954.5669503,-11200.98895,-9886.524213,-635.5225361,-12852.99771,-1691.534008,-635.5225361,-12852.99771,-1691.534008
21545.21555,7914.941941,-2061.248245,-13502.45416,-3118.022099,-9669.456945,4689.111691,-783.9719478,-11528.82799,-9324.754675,-192.5442693,-12796.98477,-1188.742889,-192.5442693,-12796.98477,-1188.742889
21545.22408,8002.638811,-2693.678105,-13289.87608,-3032.660884,-9248.265468,5206.952313,-602.5544617,-11824.47308,-8748.101071,258.0152076,-12706.44851,-697.1668015,258.0152076,-12706.44851,-697.1668015
21545.23263,8073.735085,-3317.253431,-13045.65121,-2931.950853,-8802.730955,5701.82921,-412.4754463,-12087.0451,-8157.785425,713.5511677,-12581.32611,-217.1896858,713.5511677,-12581.32611,-217.1896858
21545.24117,8126.560063,-3930.594474,-12771.40383,-2817.876078,-8333.64356,6172.077332,-216.00691,-12315.77585,-7555.065181,1171.372757,-12421.66245,250.8874916,1171.372757,-12421.66245,250.8874916
21545.24973,8159.45549,-4532.255479,-12468.9637,-2692.554365,-7841.963223,6616.028929,-15.54405378,-12509.98669,-6941.351161,1628.642527,-12227.66105,706.7558034,1628.642527,-12227.66105,706.7558034
21545.25828,8170.822662,-5121.009203,-12140.21954,-2558.155721,-7328.603099,7032.239542,186.515526,-12669.1956,-6317.92728,2082.615843,-11999.6112,1150.303298,2082.615843,-11999.6112,1150.303298
