AS2.A1ModJulian	AS2.Hellas_Planitia_GS.X	AS2.Hellas_Planitia_GS.Y	AS2.Hellas_Planitia_GS.Z	AS2.Valles_Marineris_GS.X	AS2.Valles_Marineris_GS.Y	AS2.Valles_Marineris_GS.Z	AS2.Schiaparelli_Crater_GS.X	AS2.Schiaparelli_Crater_GS.Y	AS2.Schiaparelli_Crater_GS.Z	AS2.Mawrth_Vallis_GS.X	AS2.Mawrth_Vallis_GS.Y	AS2.Mawrth_Vallis_GS.Z	AS2.Arcadia_Planitia_GS.X	AS2.Arcadia_Planitia_GS.Y	AS2.Arcadia_Planitia_GS.Z
21545.30104	2184.954475	-20232.11957	-5730.188214	-4551.634322	8187.350264	14813.37124	-683.9225072	-14516.65375	11034.13347	8288.778939	-3372.134007	15018.06999	8288.778939	-3372.134007	15018.06999
21545.30958	2187.278264	-20221.04219	-5732.633878	-4549.759354	8178.553369	14806.07817	-683.355781	-14512.83352	11023.21677	8284.254749	-3375.402788	15007.92424	8284.254749	-3375.402788	15007.92424
21545.31811	2188.845478	-20210.01892	-5734.275621	-4547.760443	8170.716568	14798.25174	-682.831725	-14508.15443	11012.99446	8279.748421	-3377.568223	14997.84118	8279.748421	-3377.568223	14997.84118
21545.32664	2189.652885	-20199.08344	-5735.110089	-4545.643987	8163.861891	14789.91706	-682.351865	-14502.63263	11003.49644	8275.273731	-3378.625974	14987.85162	8275.273731	-3378.625974	14987.85162
21545.33515	2189.700127	-20188.2658	-5735.136981	-4543.416139	8158.005872	14781.09844	-681.9174268	-14496.28549	10994.74719	8270.842977	-3378.575859	14977.98297	8270.842977	-3378.575859	14977.98297
21545.34366	2188.989006	-20177.59578	-5734.358287	-4541.083387	8153.162249	14771.82165	-681.5295106	-14489.13276	10986.76914	8266.468359	-3377.420844	14968.26238	8266.468359	-3377.420844	14968.26238
21545.35215	2187.52399	-20167.105	-5732.778833	-4538.653075	8149.342463	14762.11597	-681.1891478	-14481.19843	10979.58389	8262.162848	-3375.167802	14958.7186	8262.162848	-3375.167802	14958.7186
21545.36064	2185.31127	-20156.81989	-5730.405267	-4536.131778	8146.553051	14752.00777	-680.8970686	-14472.50542	10973.20738	8257.937295	-3371.826067	14949.37563	8257.937295	-3371.826067	14949.37563
21545.36911	2182.360435	-20146.7713	-5727.247859	-4533.527598	8144.798742	14741.52963	-680.6539989	-14463.08332	10967.6562	8253.804389	-3367.40998	14940.26147	8253.804389	-3367.40998	14940.26147
21545.37757	2178.680663	-20136.98032	-5723.316417	-4530.84654	8144.079538	14730.70581	-680.4602967	-14452.9554	10962.93942	8249.77281	-3361.93317	14931.39517	8249.77281	-3361.93317	14931.39517
21545.38601	2174.285689	-20127.4758	-5718.62561	-4528.097029	8144.393992	14719.57044	-680.316384	-14442.15492	10959.06846	8245.854451	-3355.416004	14922.80283	8245.854451	-3355.416004	14922.80283
21545.39444	2169.190055	-20118.28133	-5713.190951	-4525.286546	8145.736847	14708.15391	-680.2224302	-14430.71298	10956.04978	8242.059051	-3347.879966	14914.5057	8242.059051	-3347.879966	14914.5057
21545.40286	2163.40982	-20109.41918	-5707.029563	-4522.422567	8148.100268	14696.48671	-680.1784694	-14418.66167	10953.88751	8238.395816	-3339.348739	14906.52382	8238.395816	-3339.348739	14906.52382
21545.41127	2156.964297	-20100.91261	-5700.162028	-4519.513355	8151.472948	14684.60264	-680.1844	-14406.03749	10952.58373	8234.87438	-3329.850765	14898.87807	8234.87438	-3329.850765	14898.87807
21545.41966	2149.871014	-20092.77911	-5692.607014	-4516.565661	8155.842693	14672.5294	-680.2399859	-14392.87146	10952.13747	8231.502007	-3319.411815	14891.58409	8231.502007	-3319.411815	14891.58409
21545.42804	2142.152482	-20085.03955	-5684.388493	-4513.587823	8161.192982	14660.30126	-680.3448563	-14379.20242	10952.54615	8228.28737	-3308.064965	14884.66053	8228.28737	-3308.064965	14884.66053
21545.43641	2133.829503	-20077.71007	-5675.52861	-4510.586891	8167.506856	14647.9473	-680.4985431	-14365.06443	10953.80487	8225.237193	-3295.840751	14878.12173	8225.237193	-3295.840751	14878.12173
21545.44477	2124.925755	-20070.80745	-5666.052563	-4507.570567	8174.764179	14635.49935	-680.7004489	-14350.4953	10955.90677	8222.358492	-3282.773904	14871.9826	8222.358492	-3282.773904	14871.9826
21545.45311	2115.465666	-20064.34679	-5655.986344	-4504.546332	8182.94298	14622.98843	-680.9498674	-14335.53273	10958.843	8219.657588	-3268.900234	14866.25647	8219.657588	-3268.900234	14866.25647
21545.46145	2105.474976	-20058.34218	-5645.357334	-4501.521693	8192.019129	14610.44569	-681.24598	-14320.21536	10962.60274	8217.140398	-3254.25745	14860.95574	8217.140398	-3254.25745	14860.95574
21545.46978	2094.980154	-20052.80629	-5634.193685	-4498.503993	8201.966852	14597.90174	-681.5878722	-14304.58187	10967.17345	8214.81227	-3238.884311	14856.0915	8214.81227	-3238.884311	14856.0915
21545.4781	2084.007344	-20047.7501	-5622.523198	-4495.500166	8212.759858	14585.38551	-681.9745778	-14288.66952	10972.54146	8212.677849	-3222.81908	14851.6733	8212.677849	-3222.81908	14851.6733
21545.48641	2072.585334	-20043.18442	-5610.376481	-4492.517581	8224.36852	14572.92784	-682.4049809	-14272.51861	10978.69073	8210.741736	-3206.103873	14847.7105	8210.741736	-3206.103873	14847.7105
21545.49472	2060.742843	-20039.1185	-5597.784063	-4489.563272	8236.762462	14560.55822	-682.8779063	-14256.16843	10985.60399	8209.007891	-3188.78069	14844.21101	8209.007891	-3188.78069	14844.21101
21545.50302	2048.509916	-20035.5607	-5584.777881	-4486.644325	8249.909193	14548.30643	-683.3920705	-14239.6593	10993.26215	8207.479915	-3170.893453	14841.18194	8207.479915	-3170.893453	14841.18194
21545.51132	2035.91425	-20032.51755	-5571.387368	-4483.767026	8263.778143	14536.19896	-683.9462426	-14223.02768	11001.64664	8206.160653	-3152.482637	14838.62876	8206.160653	-3152.482637	14838.62876
21545.51354	2032.478791	-20031.78985	-5567.735335	-4483.003393	8267.615722	14532.9804	-684.1014766	-14218.55198	11004.01586	8205.842731	-3147.462226	14838.0257	8205.842731	-3147.462226	14838.0257
