MSC.A1ModJulian,MSC.Hellas_Planitia_GS.X,MSC.Hellas_Planitia_GS.Y,MSC.Hellas_Planitia_GS.Z,MSC.Valles_Marineris_GS.X,MSC.Valles_Marineris_GS.Y,MSC.Valles_Marineris_GS.Z,MSC.Schiaparelli_Crater_GS.X,MSC.Schiaparelli_Crater_GS.Y,MSC.Schiaparelli_Crater_GS.Z,MSC.Mawrth_Vallis_GS.X,MSC.Mawrth_Vallis_GS.Y,MSC.Mawrth_Vallis_GS.Z,MSC.Arcadia_Planitia_GS.X,MSC.Arcadia_Planitia_GS.Y,MSC.Arcadia_Planitia_GS.Z
30988.64061,7146.941362,-664.1966834,-14114.74406,-3772.226267,-10359.33391,3270.463191,-1710.645214,-10645.58763,-10455.08207,-1659.398563,-12711.78326,-2059.119855,1932.612135,11893.59215,1163.861214
30988.64902,6025.225138,-9.133448559,-14810.97115,-4862.428932,-10499.93205,2288.741435,-2987.220193,-10056.46671,-10897.10035,-3109.319609,-12455.00617,-2121.423821,1425.802048,11399.94128,2456.741582
30988.65744,4816.455177,612.3607371,-15363.22993,-5905.142431,-10483.50299,1256.826595,-4235.913861,-9354.185125,-11213.2242,-4513.941176,-12033.75311,-2165.624608,870.0785276,10769.05204,3659.039274
30988.66588,3535.657198,1178.652669,-15768.06523,-6892.830639,-10304.88941,199.6649082,-5443.98202,-8557.706455,-11389.90099,-5852.208157,-11455.89451,-2177.564367,262.1406343,10016.66935,4749.614091
30988.67432,2199.800925,1669.464847,-16024.85452,-7818.605075,-9962.529497,-857.2554751,-6599.028308,-7687.936832,-11416.7,-7104.088297,-10732.6873,-2144.146305,-399.7194061,9161.101357,5709.454711
30988.68278,827.6384368,2066.342644,-16135.70108,-8676.149305,-9458.549289,-1888.395953,-7689.037641,-6767.297203,-11286.58017,-8250.805553,-9878.582466,-2053.739972,-1115.3879,8222.858875,6521.949939
30988.69124,-560.6385558,2353.152023,-16105.32185,-9459.745786,-8798.764302,-2868.781516,-8702.541094,-5819.175088,-10996.11376,-9275.203283,-8910.905177,-1896.560202,-1882.805744,7224.166155,7173.239604
30988.69971,-1943.82807,2516.515376,-15940.84695,-10164.30289,-7992.54375,-3774.629475,-9628.790384,-4867.313179,-10545.58744,-10162.08494,-7849.412069,-1664.987056,-2697.925594,6188.383651,7652.496367
30988.70819,-3299.957117,2546.150398,-15651.5851,-10785.25749,-7052.710336,-4583.80509,-10457.77057,-3935.339113,-9939.078709,-10898.36692,-6715.953356,-1353.865154,-3554.593721,5139.565037,7952.055838
30988.71668,-4606.974529,2435.172642,-15248.68148,-11318.68661,-5995.094185,-5276.51236,-11180.48465,-3046.004438,-9184.287283,-11473.45193,-5533.748364,-960.6597573,-4444.747016,4101.674832,8067.610763
30988.72518,-5842.998819,2180.257929,-14744.79348,-11761.18391,-4838.277434,-5835.629354,-11788.92064,-2220.760824,-8292.424458,-11879.25938,-4326.977714,-485.617035,-5358.398553,3098.151108,7998.172463
30988.73368,-6986.791135,1781.75797,-14153.7278,-12109.85696,-3603.160783,-6247.133528,-12276.16426,-1479.217612,-7277.964482,-12110.36238,-3120.19467,68.1769803,-6283.802491,2151.32121,7746.056579
30988.74219,-8017.946724,1243.878731,-13490.24146,-12362.25985,-2312.826505,-6500.392837,-12636.40531,-838.8136969,-6158.625724,-12164.06501,-1938.047405,694.6384068,-7207.419522,1282.077188,7316.922034
30988.7507,-8917.950056,574.383451,-12769.32073,-12516.56765,-991.3281427,-6588.641367,-12865.2688,-313.9875869,-4954.40993,-12040.53512,-804.0360141,1385.084025,-8114.680724,508.855752,6719.458778
30988.75922,-9670.16907,-215.4559948,-12005.98588,-12571.43546,336.4532047,-6508.978927,-12959.68406,83.90637959,-3687.474242,-11742.6591,259.626437,2128.220591,-8989.969631,-152.4696629,5965.218821
